,gene_symbol,GSM1531972,GSM1531973,GSM1531974,GSM1531975,GSM1531976,GSM1531977,GSM1531978,GSM1531979,GSM1531980,GSM1531981,GSM1531982,GSM1531983
ENSMUSG00000000001,Gnai3,161.51071,156.81426,159.12271,156.84503,156.84076,151.8847,154.43288,154.91889,161.21506,161.86148,154.67749,162.16006
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,67.7675,69.46297,69.7041,68.24058,67.61202,70.72535,61.44773,65.52116,65.35919,58.3348,64.73675,67.1383
ENSMUSG00000000031,H19,7095.92875,7171.35267,6910.37253,6877.09204,7378.10505,6993.55884,6741.78474,6894.47018,7318.73609,7332.95626,6826.76074,7006.12791
ENSMUSG00000000037,Scml2,4.75965,4.25577,4.64694,4.27084,4.1728,4.59107,3.91579,3.10675,4.21073,3.52832,4.11988,3.7435
ENSMUSG00000000049,Apoh,452.94329,539.40159,431.35709,359.21513,454.49075,351.80548,679.08351,634.82573,679.04869,704.10668,544.06319,557.9931
ENSMUSG00000000056,Narf,330.70741,320.98346,308.84491,305.61403,291.43688,299.78569,305.94415,327.88462,333.20475,311.07997,310.17282,317.25246
ENSMUSG00000000058,Cav2,5.46478,4.72464,4.71736,4.33273,4.20417,3.79427,4.72909,3.386,4.58226,6.40978,4.544,4.47821
ENSMUSG00000000078,Klf6,32.2951,32.92812,30.20511,31.1338,30.93517,30.12654,37.59165,34.38879,34.18122,43.19236,42.01688,36.17552
ENSMUSG00000000085,Scmh1,30.85791,28.77264,29.91147,31.48433,29.99147,31.74955,29.44175,29.86762,29.42587,30.50449,28.98111,31.8286
ENSMUSG00000000088,Cox5a,86.84151,85.82685,86.88016,92.54369,91.55151,90.19541,81.81771,78.08134,79.53971,70.72477,77.15043,82.75625
ENSMUSG00000000093,Tbx2,5.00644,4.03939,4.29489,3.74472,3.10607,2.88365,4.63872,4.04924,3.59149,5.08664,5.21043,2.79888
ENSMUSG00000000094,Tbx4,0.07051,0.2164,0.10567,0.09289,0.18825,0.11383,0.12049,0.13963,0,0.0294,0.21205,0.10496
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,14.21925,7.08446,8.83636,9.25061,8.78878,10.24689,7.704,9.2287,10.09654,10.09494,14.43891,8.07033
ENSMUSG00000000125,Wnt3,0,0,0,0,0,0.03794,0,0,0.03096,0,0,0.03499
ENSMUSG00000000126,Wnt9a,1.0577,0.28853,0.80969,0.52612,0.62749,0.41737,0.66267,0.55852,0.4025,0.26462,1.18144,0.41983
ENSMUSG00000000127,Fer,16.32383,15.29192,16.05307,16.15492,17.28731,14.60794,15.15112,14.66108,15.4187,14.02506,14.44989,16.51341
ENSMUSG00000000131,Xpo6,80.17365,76.92857,82.58873,85.16897,82.79728,87.42011,71.56871,72.67725,76.72184,79.03426,80.33784,78.36857
ENSMUSG00000000134,Tfe3,29.96817,30.98059,32.49336,28.34844,30.33909,30.43004,27.95273,29.53161,29.35123,28.21837,29.89576,28.33866
ENSMUSG00000000142,Axin2,2.29168,2.16395,2.6403,2.07352,2.16483,1.88932,1.80729,1.36139,1.95056,1.38193,2.84756,1.43443
ENSMUSG00000000148,Brat1,14.38472,15.76078,15.80665,14.39087,15.78134,17.41571,16.47644,15.39415,16.16177,16.46551,16.87335,16.19853
ENSMUSG00000000149,Gna12,61.43082,63.91652,65.30358,71.18072,65.23651,68.48676,61.6276,59.23803,60.71485,59.00771,62.98863,62.7807
ENSMUSG00000000154,Slc22a18,12.51614,11.72142,11.26533,11.17227,13.42827,11.83814,9.90999,10.89109,10.09338,10.93778,11.08735,11.3005
ENSMUSG00000000157,Itgb2l,5.85262,8.11483,5.80869,5.69444,5.71016,5.12227,10.30154,7.92396,8.91685,11.05537,8.57299,7.90683
ENSMUSG00000000159,Igsf5,3.24362,3.75086,3.37959,3.24955,3.16882,3.37691,3.73506,3.42092,2.94133,3.64594,2.81728,2.69783
ENSMUSG00000000167,Pih1d2,1.06201,1.11975,0.59847,1.14775,0.84711,0.91241,0.93531,0.87339,0.71216,1.08967,0.81792,0.84022
ENSMUSG00000000168,Dlat,61.38194,58.93177,65.79662,67.0646,61.68218,62.15022,57.83315,57.84131,57.34017,53.89509,61.67715,56.85204
ENSMUSG00000000171,Sdhd,203.71297,198.75943,206.1206,211.53076,208.20077,206.52265,211.15243,186.68456,194.74648,186.44282,197.24029,199.28029
ENSMUSG00000000182,Fgf23,0.07051,0.03607,0.0352,0.0619,0.03137,0.11383,0.03012,0.06981,0.12385,0.14701,0.06059,0
ENSMUSG00000000183,Fgf6,0.42308,0,0,0,0.06276,0,0,0,0,0,0.91417,0
ENSMUSG00000000184,Ccnd2,60.57654,50.34023,65.36069,70.34137,64.18293,61.67114,55.45783,54.25559,54.45759,50.949,60.9154,48.29647
ENSMUSG00000000194,Gpr107,39.78143,36.4593,39.42882,39.02951,36.80427,38.61207,34.98395,32.69346,37.30756,38.78685,39.54164,39.02903
ENSMUSG00000000197,Nalcn,0.14103,0,0.0352,0,0,0.07589,0.21085,0.03491,0.06192,0,0.18176,0.06997
ENSMUSG00000000202,Btbd17,0.14103,0.03607,0,0.0619,0,0.07589,0.09036,0.03491,0.03096,0.05881,0.30293,0.2449
ENSMUSG00000000204,Slfn4,1.55954,2.03936,1.28781,1.19845,0.83183,1.10317,2.60972,1.72271,2.75436,3.33298,2.46697,2.21595
ENSMUSG00000000214,Th,0.21154,0.03607,0,0.0619,0,0,0,0,0.18577,0,0,0
ENSMUSG00000000215,Ins2,0.10577,0.07213,0,0,0,0,0.39158,0.06981,0.27865,0.23522,0.03029,0.07813
ENSMUSG00000000216,Scnn1g,0,0.03607,0,0,0.03137,0,0.03012,0,0,0.0294,0,0
ENSMUSG00000000223,Drp2,2.57422,1.98406,1.86619,1.82615,1.60022,2.04917,1.86791,2.16489,1.5794,1.97068,2.75762,2.02948
ENSMUSG00000000244,Tspan32,62.37228,69.56077,63.69338,64.0733,59.71037,62.01505,64.5521,55.14246,60.66522,57.92117,62.08463,61.06188
ENSMUSG00000000247,Lhx2,6.24044,7.10497,7.8153,8.69641,8.31424,8.3474,7.92196,9.18063,7.183,9.05602,9.6356,8.29169
ENSMUSG00000000248,Clec2g,0.07051,0.03607,0,0.03095,0.03137,0,0,0,0.06192,0.0883,0.03029,0
ENSMUSG00000000253,Gmpr,251.19446,252.67816,259.41871,275.15687,258.68284,277.8173,251.90722,244.10363,221.49934,220.99113,236.71128,237.66063
ENSMUSG00000000263,Glra1,0,0,0,0,0,0,0,0,0,0,0,0.03499
ENSMUSG00000000266,Mid2,4.44234,3.46232,3.62602,4.08515,3.81354,2.99748,3.10252,3.76999,4.12012,4.26401,4.45357,3.95342
ENSMUSG00000000275,Trim25,96.98823,117.43197,111.4016,109.27159,111.69025,107.92245,94.19594,99.1445,120.16387,125.43431,118.14113,106.99455
ENSMUSG00000000276,Dgke,4.60659,4.95989,5.66791,5.4312,5.14317,5.08915,3.43312,3.73301,4.78911,4.07282,4.92964,4.75098
ENSMUSG00000000278,Scpep1,55.14156,52.3315,54.28461,55.08772,57.00722,54.29903,51.8091,52.25635,55.97776,56.65892,53.61919,55.8027
ENSMUSG00000000282,Mnt,21.85913,18.89851,21.19286,22.4683,19.45217,23.29684,19.9103,19.93206,23.22091,18.58248,22.96227,22.56598
ENSMUSG00000000290,Itgb2,23.72774,32.17089,23.69236,24.07764,21.58562,22.91742,27.68168,29.07782,33.19032,37.28257,31.56566,31.20753
ENSMUSG00000000295,Hddc2,8.74361,6.92464,9.15308,9.59392,8.00049,8.72686,6.56648,6.10878,6.50186,4.58681,7.48243,7.38204
ENSMUSG00000000296,Tpd52l1,0,0,0.17683,0.07644,0,0,0,0,0,0,0,0
ENSMUSG00000000301,Pemt,5.25324,6.31152,4.68214,4.42557,5.17677,5.16021,6.68696,6.00406,7.92608,8.93839,6.48275,6.22751
ENSMUSG00000000303,Cdh1,90.90778,89.97046,92.10036,89.89215,96.42081,85.22721,81.42539,92.11578,94.0601,99.64387,87.76788,90.88011
ENSMUSG00000000305,Cdh4,1.37501,1.1541,1.44337,0.95939,1.38048,1.17622,1.47596,1.885,1.30038,2.14639,2.05994,1.71431
ENSMUSG00000000308,Ckmt1,0,0.25246,0.0352,0.03095,0,0.03794,2.229,0.10472,0.03096,0.0294,0,0.03499
ENSMUSG00000000317,Bcl6b,5.39427,5.40987,5.38623,4.76602,5.71014,5.65346,5.72308,5.16628,6.81146,5.79233,5.57397,4.65314
ENSMUSG00000000318,Clec10a,0.49569,0.37613,0.46248,0.42491,0.32864,0.58104,0.40313,0.32608,0.48758,0.64177,0.31779,0.54275
ENSMUSG00000000320,Alox12,31.00151,32.95148,26.43115,30.956,22.64462,29.81612,30.76268,31.10669,32.04362,26.54551,30.45982,33.52715
ENSMUSG00000000325,Arvcf,20.96028,20.70432,20.47559,19.66689,20.63342,24.13324,20.82046,20.11423,22.59383,22.75231,24.8733,22.67871
ENSMUSG00000000326,Comt,45.92154,46.2349,46.66437,47.46198,45.7817,48.93733,44.25932,43.16009,41.37478,39.54965,42.06035,43.58759
ENSMUSG00000000339,Rtca,25.70041,22.68082,24.95078,25.83954,23.04088,25.19214,23.38271,23.64562,21.47108,19.04483,21.68445,23.21309
ENSMUSG00000000340,Dbt,50.73312,56.38833,49.26842,51.53643,50.64833,47.42483,53.66597,52.29072,55.07512,59.88927,55.34335,53.72737
