ID,group,group1,sex,OGTT_0,OGTT_5,OGTT_10,OGTT_15,OGTT_-30,OGTT_60,OGTT_90,OGTT_120,AUC_Rcalc
E601-1,F_HFD,HFD,female,7.7,13.7,17.8,16.8,13.2,9.9,10.7,8.6,90.25
E601-2,F_HFD,HFD,female,9,18.1,20.1,18.6,14.4,10.5,8.7,7.3,98.55
E601-3,F_HFD,HFD,female,6.2,12.2,16.4,14.9,11.5,10.8,7.9,7.8,80.7
E601-4,F_HFD,HFD,female,8.7,14,19.5,17,12.8,13.6,11.6,8.6,97.15
E601-5,F_HFD,HFD,female,6.1,9.2,11.8,13.7,11.8,7.8,5.5,5,65.35
E582-1,F_ND,ND,female,7.8,13.8,19.8,20,10.4,8.4,7.9,7.1,87.75
E582-2,F_ND,ND,female,7.4,10.7,17.5,14.5,11.3,8.5,7.1,7,76.8
E582-3,F_ND,ND,female,6.4,12.3,14,17.6,16.4,12.5,7.7,7.8,87.6
E582-4,F_ND,ND,female,6.7,14.1,16.8,18,12.6,9,6.9,7.8,84.65
E582-5,F_ND,ND,female,7.3,14.4,17.3,17.8,12,8.6,7.4,8.8,85.55
E581-1,M_ND,ND,male,7.7,11.3,15.2,13.7,12.7,10.4,9.6,11.2,82.35
E581-2,M_ND,ND,male,8.4,15.1,14.9,14.4,14.2,12.5,11,9.5,91.05
E581-3,M_ND,ND,male,10.1,14.2,16.2,20,15.1,10.8,10.8,11.3,97.8
E581-4,M_ND,ND,male,9.7,16.9,16.1,16.4,16.8,11.7,10,9.3,97.4
E581-6,M_ND,ND,male,10,14.5,21.1,17,11.4,11.7,12.2,11.2,98.5
E741-1,M_HFD,HFD,male,4.6,5.2,9.5,12.5,16.2,8.6,9.4,7.2,67.3
E741-2,M_HFD,HFD,male,10.3,16,22.5,19,20.9,11.5,12,12.3,113.2
E741-3,M_HFD,HFD,male,12.4,11.5,13.4,17.1,17,17.1,15.8,13.4,104.8
E742-1,M_HFD,HFD,male,4.9,5.5,21.3,12.5,14.5,9.4,8.2,7.7,77.7
E742-3,M_HFD,HFD,male,9,17,21.6,28.6,25.5,11.9,9.4,8.9,122.95
E742-4,M_HFD,HFD,male,8.8,11.3,16.8,16.1,23.1,14.4,13.2,9.9,104.25
E787-1,M_ND,HFD,male,8.3,12.2,20.3,24.5,26.7,17.1,15.3,12.4,126.45
E787-2,M_ND,HFD,male,6.3,12.4,16.3,18.1,20.8,19.4,14.1,8.4,108.45
E787-3,M_ND,HFD,male,5.2,10.6,18.6,22.2,24.6,14,9.2,9.5,106.55
E787-4,M_ND,HFD,male,10.2,14.7,19.9,20.2,1.1,15.9,9.5,10.2,91.5
E787-5,M_ND,HFD,male,10,12.7,19.6,21.7,24.1,20.6,15.3,14.5,126.25
