sample,cage,cage_ID,sex,group,group2,Egfr,Pparg,Tlr2,Fgfr1,Vegfb,Wnt2,Casp6,Nrp1,Rxra,Ppara,Tle1,Tlr4,Vim,Casp7,Ppard,Wnt5b,Daam1,Tnf,Fgf21
9,E581,1,M,M_ND,ND,1.0722,0.2969,0.2260,0.3820,0.7477,0.3300,0.5226,0.6082,0.6423,0.7074,0.2197,0.4577,0.2290,0.6970,0.5312,0.3691,0.4172,0.0595,0.3864
10,E581,2,M,M_ND,ND,0.3666,0.1928,0.3175,0.1645,0.6155,0.5754,0.5414,0.3874,0.3871,0.4762,0.3055,0.5839,0.3525,0.5534,0.4182,0.3442,0.2676,0.2101,2.6766
11,E581,3,M,M_ND,ND,0.8142,0.2365,0.2239,0.2664,0.7271,0.4333,0.5033,0.6682,0.5468,0.8249,0.2170,0.4236,0.2563,0.6770,0.4051,0.3204,0.5969,0.0592,1.4908
12,E581,4,M,M_ND,ND,0.9333,0.2964,0.4781,0.5350,0.8710,0.7703,0.7850,0.8148,0.9531,0.9523,0.9093,0.5649,0.4684,0.7106,0.4751,0.2251,0.7417,0.0541,0.9808
13,E581,5,M,M_ND,ND,1.2369,0.3347,0.1556,0.4019,0.9032,0.2930,0.5855,0.6358,0.8911,0.7635,0.4927,0.4103,0.3503,0.7974,0.5216,0.2123,0.4933,0.0554,0.6612
14,E582,1,F,F_ND,ND,0.6908,0.4897,0.3539,0.2806,1.0975,0.3908,0.4617,1.1156,0.8350,1.1018,0.2955,0.4197,0.3226,0.6567,0.5454,0.8349,1.0665,0.0474,1.0569
15,E582,2,F,F_ND,ND,0.2238,0.5161,0.4560,0.2769,1.3848,0.5473,0.6384,0.6534,0.8399,1.0393,0.4516,0.5313,0.3981,0.5626,0.6185,0.4412,1.0651,0.0737,2.6405
16,E582,3,F,F_ND,ND,0.2898,0.5321,0.3426,0.2471,1.2089,0.4937,0.5428,0.9243,1.1004,1.2154,0.2912,0.3994,0.2796,0.7086,0.5002,0.8710,1.0269,0.0372,0.8152
17,E582,4,F,F_ND,ND,0.2119,0.5175,0.3321,0.2309,0.9138,0.5208,0.7906,0.8288,0.9096,1.1230,0.5060,0.4912,0.2621,0.8798,0.4536,0.6953,1.0027,0.0317,0.3531
18,E582,5,F,F_ND,ND,0.2049,0.5897,0.4715,0.2841,1.0678,0.5700,0.9373,0.8272,0.8658,1.1154,0.3562,0.4101,0.4253,0.7332,0.4286,0.6301,0.8928,0.0513,1.0352
19,E601,1,F,F_HFD,HFD,0.1725,0.7735,0.5994,0.2825,1.0340,0.3822,1.1974,0.7588,0.9450,0.9017,0.2672,0.5775,0.5639,0.8639,0.3848,0.4396,1.0115,0.0997,2.9640
20,E601,2,F,F_HFD,HFD,0.1790,1.0088,0.4056,0.2346,1.0063,0.4136,1.1348,0.7769,1.1490,0.9934,0.2265,0.3920,0.2741,0.8313,0.3969,0.9588,0.9433,0.0433,46.2093
21,E601,3,F,F_HFD,HFD,0.2716,0.9154,0.4107,0.3846,1.1331,0.5450,1.2979,0.9702,1.0821,1.2643,0.4630,0.4188,0.3094,0.8932,0.4168,0.4722,1.0861,0.0627,27.2212
22,E601,4,F,F_HFD,HFD,0.4179,0.7680,0.5161,0.2484,0.8693,0.5029,0.9261,0.7164,1.0517,1.0420,0.4235,0.4168,0.2426,1.2569,0.4093,0.6047,1.0441,0.0589,3.3298
23,E601,5,F,F_HFD,HFD,0.3092,1.1527,1.3447,1.3778,0.5195,0.2252,0.8509,0.5593,0.5566,0.8134,0.7656,0.6908,1.3852,0.7041,0.4914,0.3117,0.8887,0.1820,5.4474
1,E741,2,M,M_HFD,HFD,0.6669,0.1566,10.7370,0.1918,2.0362,12.2700,0.3251,1.6368,0.3464,0.6305,11.9028,10.8609,1.5063,0.4582,5.8875,0.1143,0.1331,12.6379,47.5902
2,E741,3,M,M_HFD,HFD,1.7317,0.4456,0.6253,0.4570,0.6302,0.8455,0.6882,1.4536,1.0170,0.4088,0.4525,0.7927,0.5685,0.6041,0.6124,0.5952,0.3413,0.2595,35.7339
3,E741,4,M,M_HFD,HFD,1.0500,0.4504,0.2980,0.4724,1.0586,0.8188,0.6475,0.7922,0.9535,0.8007,0.3454,0.4744,0.2535,0.4987,0.4786,0.2728,0.9650,0.0242,82.0846
4,E787,1,M,M_HFD,HFD,0.3632,0.7738,0.2924,0.3126,0.9983,0.6722,0.6453,0.6184,0.5996,0.7379,0.2858,0.4101,0.3950,0.6491,0.6289,0.1505,0.6492,0.0527,9.0127
5,E787,2,M,M_HFD,HFD,0.3991,0.5145,0.4008,1.2171,0.5305,0.2590,0.4961,0.4074,0.4170,0.2233,0.1581,0.8328,1.8180,0.4715,0.7549,0.3445,0.2722,0.1614,3.5665
6,E787,3,M,M_HFD,HFD,1.5393,0.2124,0.2967,0.5472,1.0440,0.6865,0.5659,0.7730,0.6796,0.4629,0.4069,0.4792,0.3756,0.7507,1.5868,0.2149,0.7686,0.0660,7.2206
7,E787,4,M,M_HFD,HFD,0.9878,0.5557,0.3469,0.3633,1.0446,0.8560,0.6376,1.0119,0.8864,0.6965,0.4138,0.4470,0.4035,0.7130,0.7387,0.2183,1.0515,0.0369,9.1640
8,E787,5,M,M_HFD,HFD,0.5763,0.4006,0.4804,0.2273,0.9287,0.4328,0.4387,0.5338,0.5313,0.4296,0.4493,0.6684,0.4293,0.6928,0.8155,0.0770,0.1851,0.2780,4.0946
