ID,group,group1,sex,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40
E601-1,F_HFD,HFD,female,14.7,16.0,16.0,18.0,20.0,20.0,22.0,22.0,21.0,23.0,24.0,25.0,27.0,30.0,28.0,29.0,30.0,32.0,32.0,33.0,33.0,33.0,31.0,30.0,31.0,32.0,32.0,31.0,31.0,31.0,32.0,33.0,31.0,31.0,30.0,32.0,32.0
E601-2,F_HFD,HFD,female,15.5,17.0,17.0,19.0,20.0,20.0,22.0,22.0,22.0,23.0,25.0,25.0,28.0,30.0,29.0,28.0,29.0,30.0,30.0,30.0,31.0,30.0,31.0,31.0,31.0,32.0,33.0,34.0,33.0,31.0,32.0,32.0,32.0,31.0,30.0,33.0,32.0
E601-3,F_HFD,HFD,female,13.7,16.0,16.0,17.0,18.0,18.0,20.0,20.0,20.0,22.0,22.0,22.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,26.0,26.0,25.0,25.0,24.0,25.0,25.0
E601-4,F_HFD,HFD,female,14.8,16.0,17.0,18.0,20.0,20.0,21.0,21.0,21.0,22.0,24.0,24.0,25.0,27.0,27.0,27.0,24.0,29.0,29.0,30.0,32.0,33.0,30.0,30.0,31.0,32.0,33.0,34.0,33.0,31.0,33.0,33.0,33.0,32.0,32.0,33.0,32.0
E601-5,F_HFD,HFD,female,14.7,15.0,17.0,18.0,19.0,19.0,22.0,21.0,20.0,21.0,23.0,24.0,24.0,25.0,25.0,24.0,24.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,27.0,28.0,30.0,29.0,29.0,29.0,31.0,29.0,30.0,29.0,29.0,30.0,31.0
E582-1,F_ND,ND,female,14.0,14.0,16.0,16.0,18.0,17.0,17.0,18.0,19.0,20.0,20.0,19.0,20.0,21.0,19.0,21.0,21.0,22.0,22.0,21.0,22.0,23.0,23.0,22.0,22.0,22.0,22.0,23.0,24.0,23.0,24.0,24.0,26.0,23.0,24.0,24.0,24.0
E582-2,F_ND,ND,female,14.0,16.0,17.0,18.0,19.0,20.0,20.0,21.0,21.0,22.0,25.0,26.0,27.0,26.0,27.0,26.0,27.0,28.0,29.0,28.0,29.0,29.0,30.0,29.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,30.0,32.0,30.0
E582-3,F_ND,ND,female,13.0,14.0,15.0,17.0,18.0,18.0,19.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,21.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,25.0,26.0,27.0,27.0,26.0,27.0,26.0,27.0,28.0,27.0,28.0,28.0,28.0,28.0
E582-4,F_ND,ND,female,14.0,14.0,16.0,16.0,17.0,17.0,18.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,24.0,25.0,24.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,28.0,25.0,27.0,26.0
E582-5,F_ND,ND,female,14.0,14.0,15.0,16.0,17.0,17.0,17.0,19.0,19.0,20.0,21.0,20.0,21.0,20.0,19.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,24.0,24.0,24.0,26.0,24.0,25.0,24.0,25.0,25.0,25.0,25.0,24.0,24.0,25.0,25.0
E581-1,M_ND,ND,male,15.0,19.0,20.0,22.0,25.0,24.0,25.0,26.0,27.0,27.0,29.0,31.0,31.0,31.0,32.0,33.0,33.0,33.0,34.0,35.0,35.0,35.0,36.0,36.0,37.0,37.0,37.0,39.0,38.0,39.0,39.0,39.0,38.0,38.0,38.0,39.0,39.0
E581-2,M_ND,ND,male,15.0,16.0,18.0,21.0,23.0,22.0,22.0,24.0,26.0,27.0,29.0,30.0,31.0,30.0,31.0,32.0,33.0,33.0,34.0,35.0,35.0,34.0,36.0,36.0,36.0,36.0,36.0,38.0,37.0,38.0,38.0,39.0,39.0,38.0,38.0,40.0,38.0
E581-3,M_ND,ND,male,14.0,17.0,18.0,21.0,23.0,23.0,22.0,25.0,26.0,27.0,29.0,31.0,31.0,30.0,32.0,33.0,34.0,33.0,35.0,34.0,35.0,35.0,37.0,36.0,37.0,38.0,37.0,37.0,38.0,38.0,39.0,39.0,38.0,37.0,38.0,37.0,35.0
E581-4,M_ND,ND,male,12.0,17.0,17.0,20.0,22.0,22.0,22.0,24.0,24.0,25.0,26.0,27.0,27.0,26.0,27.0,28.0,28.0,28.0,29.0,29.0,30.0,29.0,31.0,31.0,32.0,32.0,32.0,32.0,31.0,33.0,32.0,33.0,33.0,32.0,32.0,33.0,30.0
E581-5,M_ND,ND,male,14.0,16.0,17.0,20.0,22.0,22.0,22.0,23.0,24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E581-6,M_ND,ND,male,13.0,18.0,20.0,21.0,24.0,24.0,23.0,25.0,26.0,27.0,29.0,30.0,31.0,30.0,32.0,33.0,34.0,33.0,35.0,36.0,37.0,36.0,37.0,38.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,41.0,41.0,41.0,42.0,40.0
