"","symbol","cons_up","cons_dn","max_cons","total","median_logFC","FDR_comb","Fisher_P.Val","pathway_reactome"
"1","Mttp",5,0,5,10,0.141850990190034,1.2964244435292e-06,5.02257813317952e-05,"Transport of small molecules,Plasma lipoprotein assembly,VLDL assembly,Plasma lipoprotein assembly, remodeling, and clearance,Chylomicron assembly"
"2","Pparg",0,3,3,10,0.267616695197273,2.50785624434054e-05,0.00180499941129543,"Transcriptional regulation of white adipocyte differentiation,Developmental Biology,RNA Polymerase II Transcription,Nuclear Receptor transcription pathway,Generic Transcription Pathway,Gene expression (Transcription)"
"3","Slc2a2",3,2,3,10,0.249481275417046,1.62840952001775e-06,7.73448033392971e-08,"Cellular hexose transport,SLC-mediated transmembrane transport,Transport of small molecules,Metabolism,Regulation of insulin secretion,Integration of energy metabolism,Intestinal hexose absorption,Intestinal absorption,Digestion and absorption"
"4","Srebf1",0,3,3,10,0.114995115203524,3.15006169738894e-05,0.00210876297478963,"Metabolism,Regulation of cholesterol biosynthesis by SREBP (SREBF),Metabolism of lipids,Metabolism of steroids"
"5","Mertk",3,0,3,10,0.0767027774589031,0.000660184876792093,0.000585019308318477,"Hemostasis,Cell surface interactions at the vascular wall"
"6","Apoa4",1,2,2,10,0.363642613721788,0.000187447072077455,2.19300578468797e-06,"Plasma lipoprotein assembly,Chylomicron assembly,Transport of small molecules,Plasma lipoprotein assembly, remodeling, and clearance,Chylomicron remodeling,Plasma lipoprotein remodeling,Visual phototransduction,Sensory Perception,Retinoid metabolism and transport,Metabolism,Metabolism of fat-soluble vitamins,Metabolism of vitamins and cofactors"
"7","Fgf21",2,0,2,10,0.188402004082531,0.00186418273657711,0.0377857941872098,"Cellular hexose transport,SLC-mediated transmembrane transport,Transport of small molecules"
"8","Tlr2",0,2,2,10,0.135100424248533,0.00222652693273782,0.0327380574955076,"Immune System,Beta defensins,Antimicrobial peptides,Innate Immune System,Defensins,Regulation of TLR by endogenous ligand,Toll-like Receptor Cascades,Neutrophil degranulation"
"9","Mlxipl",1,2,2,10,0.120959145754035,0.00010009740831055,0.00103910789064799,"PKA-mediated phosphorylation of key metabolic factors,Metabolism,Integration of energy metabolism,ChREBP activates metabolic gene expression"
"10","Fasn",1,0,1,10,0.237822540968703,0.0773460442142457,0.00403019225399819,"Integration of energy metabolism,Metabolism,ChREBP activates metabolic gene expression,Metabolism of vitamins and cofactors,Metabolism of water-soluble vitamins and cofactors,Vitamin B5 (pantothenate) metabolism,Fatty acid metabolism,Fatty acyl-CoA biosynthesis,Metabolism of lipids"
"11","Igfbp1",1,0,1,10,0.139707318220268,0.0773460442142457,0.521516863851456,"Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Post-translational protein modification,Post-translational protein phosphorylation"
"12","Nr1d1",1,0,1,10,0.102040917508787,0.0773460442142457,0.279619602036993,"RNA Polymerase II Transcription,Nuclear Receptor transcription pathway,Generic Transcription Pathway,Gene expression (Transcription)"
