"","symbol","cons_up","cons_dn","max_cons","total","median_logFC","FDR_comb","Fisher_P.Val","pathway_reactome"
"1","Egfr",4,2,4,10,0.418293641350189,1.83416464587674e-08,2.06215321155987e-08,"Signaling by ERBB2,Signaling by Receptor Tyrosine Kinases,Signal Transduction,Signaling by ERBB4,SHC1 events in ERBB2 signaling,PIP3 activates AKT signaling,Intracellular signaling by second messengers,Signaling by EGFR,GRB2 events in EGFR signaling,GAB1 signalosome,SHC1 events in EGFR signaling,EGFR downregulation,PI3K events in ERBB2 signaling,EGFR interacts with phospholipase C-gamma,EGFR Transactivation by Gastrin,Gastrin-CREB signalling pathway via PKC and MAPK,G alpha (q) signalling events,Signaling by GPCR,GPCR downstream signalling,L1CAM interactions,Axon guidance,Signal transduction by L1,Developmental Biology,Nervous system development,MAPK1/MAPK3 signaling,RAF/MAP kinase cascade,MAPK family signaling cascades,ERBB2 Regulates Cell Motility,Negative regulation of the PI3K/AKT network,PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling,ERBB2 Activates PTK6 Signaling,Signaling by PTK6,Signaling by Non-Receptor Tyrosine Kinases,Vesicle-mediated transport,Clathrin-mediated endocytosis,Membrane Trafficking,Cargo recognition for clathrin-mediated endocytosis,PTK6 promotes HIF1A stabilization,Downregulation of ERBB2 signaling,ESR-mediated signaling,Extra-nuclear estrogen signaling,Signaling by Nuclear Receptors,Signaling by NOTCH,NOTCH3 Activation and Transmission of Signal to the Nucleus,Signaling by NOTCH3"
"2","Pparg",0,3,3,10,0.267616695197273,2.50785624434054e-05,0.00180499941129543,"Transcriptional regulation of white adipocyte differentiation,Developmental Biology,RNA Polymerase II Transcription,Nuclear Receptor transcription pathway,Generic Transcription Pathway,Gene expression (Transcription)"
"3","Vegfb",3,0,3,10,0.263143326919874,0.000187447072077455,3.01348586286738e-09,"Platelet degranulation ,Hemostasis,Platelet activation, signaling and aggregation,Response to elevated platelet cytosolic Ca2+,Signaling by VEGF,Signaling by Receptor Tyrosine Kinases,VEGF ligand-receptor interactions,Signal Transduction,VEGF binds to VEGFR leading to receptor dimerization"
"4","Wnt2",3,0,3,10,0.248731782629578,0.000660184876792093,0.00269682878058402,"Signal Transduction,WNT ligand biogenesis and trafficking,Signaling by WNT"
"5","Nrp1",3,0,3,8,0.218767883036838,7.7458206287982e-05,8.70445663479426e-05,"Neurophilin interactions with VEGF and VEGFR,Signaling by VEGF,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Sema3A PAK dependent Axon repulsion,Developmental Biology,Axon guidance,Nervous system development,Semaphorin interactions,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,CRMPs in Sema3A signaling,L1CAM interactions,Signal transduction by L1"
"6","Vim",0,3,3,10,0.145791923466103,5.85086367185443e-05,0.00714734751845875,"Apoptotic cleavage of cellular proteins,Caspase-mediated cleavage of cytoskeletal proteins,Apoptosis,Programmed Cell Death,Apoptotic execution phase,Muscle contraction,Striated Muscle Contraction,Signaling by Rho GTPases,RHOBTB1 GTPase cycle,RHOBTB GTPase Cycle,Signaling by Rho GTPases, Miro GTPases and RHOBTB3,Signal Transduction,RHO GTPase cycle,Selective autophagy,Autophagy,Aggrephagy,Macroautophagy"
"7","Tle1",3,0,3,10,0.127761709677315,0.000190781460105843,0.0118232869422201,"Signal Transduction,Signaling by WNT,TCF transactivating complex,TCF dependent signaling in response to WNT,Deactivation of the beta-catenin transactivating complex,Repression of WNT target genes,Degradation of beta-catenin by the destruction complex"
"8","Casp7",0,3,3,10,0.112943917263604,0.000187447072077455,9.52130812177334e-07,"Cytochrome c-mediated apoptotic response,Activation of caspases through apoptosome-mediated cleavage,Programmed Cell Death,Apoptotic factor-mediated response,Intrinsic Pathway for Apoptosis,Apoptosis,SMAC (DIABLO) binds to IAPs ,SMAC, XIAP-regulated apoptotic response,caspase complexes ,Apoptotic execution phase,Apoptotic cleavage of cellular proteins,Caspase-mediated cleavage of cytoskeletal proteins"
"9","Wnt5b",0,3,3,8,0.109009633498418,0.000357165430319446,4.1805054038476e-09,"Signal Transduction,WNT ligand biogenesis and trafficking,Signaling by WNT,Beta-catenin independent WNT signaling,PCP/CE pathway"
"10","Daam1",0,3,3,10,0.100660376481116,0.000187447072077455,0.000227748854370221,"Beta-catenin independent WNT signaling,Signal Transduction,Signaling by WNT,PCP/CE pathway,RHO GTPase Effectors,Signaling by Rho GTPases,Signaling by Rho GTPases, Miro GTPases and RHOBTB3,RHO GTPases Activate Formins,RHOA GTPase cycle,RHO GTPase cycle,RHOB GTPase cycle,RHOC GTPase cycle,CDC42 GTPase cycle"
