,symbol,cons_up,cons_dn,max_cons,total,median_logFC,FDR_comb,Fisher_P.Val,pathway_reactome
6,Lcn2,0,4,4,10,1.2322655,1.53E-05,0.000157623,"Innate Immune System,Neutrophil degranulation,Immune System,Metal sequestration by antimicrobial proteins,Antimicrobial peptides,Transport of small molecules,Iron uptake and transport"
47,Orm2,0,3,3,10,0.83863485,0.000365462,0.000547108,"Platelet degranulation ,Hemostasis,Platelet activation, signaling and aggregation,Response to elevated platelet cytosolic Ca2+,Innate Immune System,Neutrophil degranulation,Immune System"
7,Mt1,0,4,4,10,0.73666975,3.10E-05,3.71E-05,"Cellular responses to stimuli,Response to metal ions,Metallothioneins bind metals"
8,Acot1,4,0,4,8,0.702016948,8.96E-06,2.89E-07,"Metabolism of lipids,Fatty acid metabolism,Mitochondrial Fatty Acid Beta-Oxidation,Metabolism,Peroxisomal protein import,Protein localization"
48,Cyp4a14,3,0,3,10,0.584126934,4.53E-05,0.000440841,"Biological oxidations,Fatty acids,Phase I - Functionalization of compounds,Metabolism,Cytochrome P450 - arranged by substrate type,Miscellaneous substrates,Eicosanoids,Metabolism of lipids,Synthesis of Leukotrienes (LT) and Eoxins (EX),Fatty acid metabolism,Arachidonic acid metabolism"
49,Krt23,0,3,3,8,0.50514045,6.42E-05,0.00084507,"Keratinization,Developmental Biology,Formation of the cornified envelope"
50,Cfd,1,3,3,10,0.4800173,4.26E-06,0.003661053,"Platelet degranulation ,Hemostasis,Platelet activation, signaling and aggregation,Response to elevated platelet cytosolic Ca2+,Alternative complement activation,Innate Immune System,Initial triggering of complement,Complement cascade,Immune System,Neutrophil degranulation"
51,Tubb2b,3,0,3,8,0.428019938,0.000430429,8.71E-07,"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,Gap junction trafficking and regulation,Vesicle-mediated transport,Gap junction assembly,Membrane Trafficking,Gap junction trafficking,Transport of connexons to the plasma membrane,Adaptive Immune System,Immune System,MHC class II antigen presentation,M Phase,Mitotic Metaphase and Anaphase,Separation of Sister Chromatids,Cell Cycle,Cell Cycle, Mitotic,Mitotic Anaphase,Resolution of Sister Chromatid Cohesion,Mitotic Prometaphase,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,Cellular responses to stress,Cellular responses to stimuli,Recruitment of NuMA to mitotic centrosomes,Developmental Biology,L1CAM interactions,Axon guidance,Nervous system development,Recycling pathway of L1,Hedgehog 'off' state,Signal Transduction,Signaling by Hedgehog,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,RHO GTPase Effectors,Signaling by Rho GTPases,Signaling by Rho GTPases, Miro GTPases and RHOBTB3,RHO GTPases Activate Formins,COPI-mediated anterograde transport,Metabolism of proteins,Asparagine N-linked glycosylation,Transport to the Golgi and subsequent modification,Post-translational protein modification,ER to Golgi Anterograde Transport,COPI-dependent Golgi-to-ER retrograde traffic,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-independent Golgi-to-ER retrograde traffic,Mitotic G2-G2/M phases,G2/M Transition,The role of GTSE1 in G2/M progression after G2 checkpoint,Carboxyterminal post-translational modifications of tubulin,Selective autophagy,Autophagy,Aggrephagy,Macroautophagy,EML4 and NUDC in mitotic spindle formation,Nuclear Envelope (NE) Reassembly,Sealing of the nuclear envelope (NE) by ESCRT-III,Kinesins,Hemostasis,Factors involved in megakaryocyte development and platelet production"
9,Egfr,4,2,4,10,0.41829365,1.83E-08,2.06E-08,"Signaling by ERBB2,Signaling by Receptor Tyrosine Kinases,Signal Transduction,Signaling by ERBB4,SHC1 events in ERBB2 signaling,PIP3 activates AKT signaling,Intracellular signaling by second messengers,Signaling by EGFR,GRB2 events in EGFR signaling,GAB1 signalosome,SHC1 events in EGFR signaling,EGFR downregulation,PI3K events in ERBB2 signaling,EGFR interacts with phospholipase C-gamma,EGFR Transactivation by Gastrin,Gastrin-CREB signalling pathway via PKC and MAPK,G alpha (q) signalling events,Signaling by GPCR,GPCR downstream signalling,L1CAM interactions,Axon guidance,Signal transduction by L1,Developmental Biology,Nervous system development,MAPK1/MAPK3 signaling,RAF/MAP kinase cascade,MAPK family signaling cascades,ERBB2 Regulates Cell Motility,Negative regulation of the PI3K/AKT network,PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling,ERBB2 Activates PTK6 Signaling,Signaling by PTK6,Signaling by Non-Receptor Tyrosine Kinases,Vesicle-mediated transport,Clathrin-mediated endocytosis,Membrane Trafficking,Cargo recognition for clathrin-mediated endocytosis,PTK6 promotes HIF1A stabilization,Downregulation of ERBB2 signaling,ESR-mediated signaling,Extra-nuclear estrogen signaling,Signaling by Nuclear Receptors,Signaling by NOTCH,NOTCH3 Activation and Transmission of Signal to the Nucleus,Signaling by NOTCH3"
52,Nnmt,0,3,3,10,0.398377809,0.000365462,0.000101105,"Biological oxidations,Metabolism,Phase II - Conjugation of compounds,Methylation,Metabolism of water-soluble vitamins and cofactors,Metabolism of vitamins and cofactors,Nicotinate metabolism,Nicotinamide salvaging"
53,Slc17a8,3,0,3,10,0.3982077,0.000110475,2.85E-06,"Transport of small molecules,Transport of inorganic cations/anions and amino acids/oligopeptides,SLC-mediated transmembrane transport,Organic anion transporters"
10,Cyp51,1,4,4,10,0.388610082,1.12E-06,2.13E-05,"Cholesterol biosynthesis,Metabolism of steroids,Metabolism of lipids,Metabolism,Endogenous sterols,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds"
54,Cyp4a31,3,1,3,8,0.3840199,2.68E-06,3.91E-05,"Biological oxidations,Fatty acids,Phase I - Functionalization of compounds,Metabolism,Cytochrome P450 - arranged by substrate type,Miscellaneous substrates,Eicosanoids,Metabolism of lipids,Synthesis of Leukotrienes (LT) and Eoxins (EX),Fatty acid metabolism,Arachidonic acid metabolism"
55,Slc13a3,1,3,3,10,0.360936593,3.10E-05,1.38E-08,"Transport of small molecules,Transport of bile salts and organic acids, metal ions and amine compounds,Sodium-coupled sulphate, di- and tri-carboxylate transporters,SLC-mediated transmembrane transport"
11,Aldh1b1,0,4,4,10,0.3058252,8.88E-06,0.000558392,"Ethanol oxidation,Metabolism,Biological oxidations,Phase I - Functionalization of compounds"
56,St3gal5,3,0,3,8,0.3037586,0.000141956,0.000836483,"Metabolism of proteins,Asparagine N-linked glycosylation,Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein,Sialic acid metabolism,Synthesis of substrates in N-glycan biosythesis,Post-translational protein modification"
57,Upp2,0,3,3,10,0.302033203,0.000187447,0.017391713,"Nucleotide salvage,Pyrimidine salvage,Metabolism,Metabolism of nucleotides,Nucleobase catabolism,Pyrimidine catabolism"
58,Gstm1,2,3,3,10,0.2846568,9.52E-07,5.56E-12,"Phase II - Conjugation of compounds,Biological oxidations,Glutathione conjugation,Metabolism"
59,Gpd2,3,0,3,8,0.28157085,0.000725504,5.87E-06,"Metabolism of lipids,Metabolism,Phospholipid metabolism,Glycerophospholipid biosynthesis,Synthesis of PA,Triglyceride catabolism,Triglyceride metabolism"
12,Cxcl1,0,4,4,10,0.27958975,1.03E-05,2.26E-05,"Chemokine receptors bind chemokines,Signal Transduction,Class A/1 (Rhodopsin-like receptors),GPCR ligand binding,Signaling by GPCR,Peptide ligand-binding receptors,GPCR downstream signalling,G alpha (i) signalling events,Innate Immune System,Neutrophil degranulation,Immune System"
60,Lss,1,3,3,10,0.2770918,2.11E-05,8.18E-08,"Cholesterol biosynthesis,Metabolism of steroids,Metabolism of lipids,Metabolism"
61,Pparg,0,3,3,10,0.267616691,2.51E-05,0.001804999,"Transcriptional regulation of white adipocyte differentiation,Developmental Biology,RNA Polymerase II Transcription,Nuclear Receptor transcription pathway,Generic Transcription Pathway,Gene expression (Transcription)"
62,Vegfb,3,0,3,10,0.2631433,0.000187447,3.01E-09,"Platelet degranulation ,Hemostasis,Platelet activation, signaling and aggregation,Response to elevated platelet cytosolic Ca2+,Signaling by VEGF,Signaling by Receptor Tyrosine Kinases,VEGF ligand-receptor interactions,Signal Transduction,VEGF binds to VEGFR leading to receptor dimerization"
63,Elovl6,3,0,3,10,0.2622286,0.000365462,6.00E-11,"Fatty acyl-CoA biosynthesis,Fatty acid metabolism,Metabolism,Synthesis of very long-chain fatty acyl-CoAs,Metabolism of lipids"
13,Gpc1,0,4,4,10,0.2566919,7.83E-06,4.95E-08,"Chondroitin sulfate/dermatan sulfate metabolism,Heparan sulfate/heparin (HS-GAG) metabolism,Metabolism,Glycosaminoglycan metabolism,A tetrasaccharide linker sequence is required for GAG synthesis,Metabolism of carbohydrates,HS-GAG biosynthesis,HS-GAG degradation,Hemostasis,Cell surface interactions at the vascular wall,Axon guidance,Signaling by ROBO receptors,Developmental Biology,Nervous system development,Visual phototransduction,Sensory Perception,Retinoid metabolism and transport,Metabolism of fat-soluble vitamins,Metabolism of vitamins and cofactors"
14,Slco2a1,4,0,4,10,0.25557335,2.76E-05,7.74E-09,"Transport of organic anions,SLC-mediated transmembrane transport,Transport of small molecules,Transport of vitamins, nucleosides, and related molecules"
64,Slc2a2,3,2,3,10,0.24948125,1.63E-06,7.73E-08,"Cellular hexose transport,SLC-mediated transmembrane transport,Transport of small molecules,Metabolism,Regulation of insulin secretion,Integration of energy metabolism,Intestinal hexose absorption,Intestinal absorption,Digestion and absorption"
65,Il1rn,1,3,3,10,0.248856835,2.11E-05,0.000342268,"Cytokine Signaling in Immune system,Immune System,Interleukin-1 family signaling,Interleukin-1 signaling,Signaling by Interleukins"
66,Wnt2,3,0,3,10,0.248731776,0.000660185,0.002696828,"Signal Transduction,WNT ligand biogenesis and trafficking,Signaling by WNT"
67,Gldc,1,3,3,10,0.2486015,5.12E-06,2.31E-05,"Metabolism,Glycine degradation,Glyoxylate metabolism and glycine degradation,Metabolism of amino acids and derivatives"
68,Chka,1,3,3,10,0.24212015,1.53E-05,0.001810007,"Phospholipid metabolism,Metabolism of lipids,Metabolism,Synthesis of PC,Glycerophospholipid biosynthesis,Synthesis of PE"
69,Dct,1,3,3,10,0.2395208,1.73E-05,6.14E-10,"Metabolism of amino acids and derivatives,Metabolism,Melanin biosynthesis"
15,Cd9,4,0,4,10,0.2392885,1.59E-05,8.49E-13,"Platelet degranulation ,Hemostasis,Platelet activation, signaling and aggregation,Response to elevated platelet cytosolic Ca2+,Reproduction,Fertilization,Oocyte Membrane Binding"
16,Cd163,4,0,4,10,0.23374775,6.19E-06,9.77E-05,"Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,Scavenging of heme from plasma"
17,Dcxr,0,4,4,10,0.233025,8.81E-06,7.02E-08,"Formation of xylulose-5-phosphate,Metabolism of carbohydrates,Metabolism"
70,Aspg,0,3,3,6,0.231792,0.000177248,0.001365261,"Metabolism of amino acids and derivatives,Aspartate and asparagine metabolism,Metabolism"
